Fecha,Practica,Valor
15/11/2018,cesarea,"1.212,39"
20/02/2018,cesarea,"5,061.39"
17/04/2018,cesarea,"5,061.39"
25/02/2019,cesarea,"1.132,46"
05/08/2020,cesarea,"10.271,22"
22/11/2017,cesarea,933.67
15/11/2018,cesarea,"1.212,39"
09/12/2019,cesarea,"9.217,38"
09/11/2019,cesarea,"9.145,29"
10/01/2018,cesarea,"933,67"
26/12/2017,cesarea,"933,67"
14/12/2019,cesarea,"2.521,46"
25/12/2020,cesarea,"11.539,22"
05/01/2022,cesarea,"23.462,23"
29/01/2018,cesarea,"1.042,48"
24/01/2018,cesarea,"933,67"
09/01/2019,cesarea,"1.759,09"
03/01/2020,cesarea,"1.171,80"
30/06/2017,cesarea,"808,54"
30/05/2018,cesarea,"998,96"
19/06/2020,cesarea,"2.156,95"
09/06/2017,cesarea,"4.401,95"
01/05/2017,cesarea,"725,68"
31/05/2018,cesarea,"1.042,48"
05/04/2019,cesarea,"7.353,55"
27/02/2018,cesarea,725.68
28/02/2019,cesarea,"1.381,05"
15/03/2021,cesarea,"2.881,37"
04/03/2023,cesarea,"40.747,73"
25/04/2017,cesarea,"3.922,74"
03/05/2017,cesarea,"962,13"
23/04/2018,cesarea,"3,676.77"
28/04/2020,cesarea,"2.027,21"
24/03/2021,cesarea,"6.412,09"
07/11/2017,cesarea,"933,67"
20/11/2020,cesarea,"11.539,22"
10/10/2018,cesarea,"7.747,94"
21/10/2019,cesarea,"12.815,70"
19/10/2020,cesarea,"10.941,26"
09/10/2020,cesarea,"2.420,19"
09/09/2020,cesarea,"13.241,90"
28/01/2021,cesarea,"1.171,80"
26/01/2021,cesarea,"2.368,71"
01/10/2017,cesarea,"5.004,14"
06/10/2017,cesarea,"933,67"
01/09/2017,cesarea,"1.365,61"
