Región,,GBA,Pampeana,Noreste,Noroeste,Cuyo,Patagonia
Año 2017,Junio,20.96,22.63,22.53,21.55,23.22,23.82
,Julio,21.53,23.42,23.27,22.53,23.95,24.36
,Agosto,21.72,23.58,23.25,22.58,24.04,24.53
,Septiembre,21.81,23.53,23.39,22.89,23.85,25.08
,Octubre,21.95,23.64,23.82,22.76,24.06,25.03
,Noviembre,22.63,24.18,24.25,23.2,24.8,25.39
,Diciembre,22.8,24.25,24.61,23.33,25,25.87
Año 2018,Enero,22.98,24.52,24.43,23.62,25.04,25.79
,Febrero,23.08,24.61,24.57,23.88,25.36,25.89
,Marzo,23.26,25,24.68,23.88,25.49,26.09
,Abril,23.84,25.43,25.32,24.62,26.1,26.82
,Mayo,23.89,25.36,25.34,25.03,25.58,26.52
,Junio,24.58,26.16,25.62,25.62,26.71,26.63
,Julio,24.84,26.58,26.08,26.14,27.23,27.11
,Agosto,26.09,28.25,27.25,27.4,28.39,28.47
,Septiembre,28.28,30.65,29.89,29.24,30.73,30.58
,Octubre,30.66,32.64,32.18,31.85,33.89,33.28
,Noviembre,31.3,33.5,33.04,33.02,34.4,35.68
,Diciembre,33.52,35.82,34.67,35,36.93,37.75
Año 2019,Enero,35.36,38.2,36.99,37.11,40.16,40.86
,Febrero,36.25,39.5,39.27,38.12,40.86,41.58
,Marzo,39.65,42.99,43.09,41.73,44.03,45.91
,Abril,42.25,46.09,46.24,45.44,47.31,49.61
,Mayo,44.32,48.29,48.78,47.77,49.09,51.8
,Junio,44.77,49.01,50.29,48.89,49.69,52.6
,Julio,46.88,50.65,51.68,50.01,51.37,54.21
,Agosto,48.37,52.53,54.26,52.97,53.12,56.12
,Septiembre,47.98,52.61,54.79,52.58,53.68,54.93
,Octubre,48.97,53.02,55.94,53.04,55.6,55.77
,Noviembre,50.04,54.23,56.73,54.4,57.29,59.57
,Diciembre,50.98,54.62,57.24,54.17,58.3,60.99
Año 2020,Enero ,55.02,58.10,62.56,57.59,61.45,62.83
,Febrero,54.01,59.46,61.57,59.42,61.66,62.14
,Marzo,55.72,60.30,63.71,60.61,63.23,///
,Abril,54.84,61.36,64.26,63.40,63.58,62.33
,Mayo,54.58,61.07,64.56,63.83,63.92,62.06
,Junio,54.87,61.43,62.45,62.75,63.31,62.29
,Julio,55.89,61.61,63.80,63.13,63.95,63.11
,Agosto,56.00,62.64,65.11,63.72,65.08,64.35
,Septiembre,55.94,62.77,64.57,65.07,65.22,64.43
,Octubre,57.05,63.82,65.22,65.99,66.20,64.63
,Noviembre,57.45,64.52,66.72,67.29,66.89,65.53
,Diciembre,57.30,65.09,67.27,68.57,67.58,67.32
Año 2021,Enero,58.00,66.19,69.35,69.28,69.11,67.80
,Febrero,62.05,69.97,75.75,73.07,73.87,72.78
,Marzo,69.52,76.57,84.38,78.52,81.31,79.28
,Abril,76.35,83.39,89.81,84.26,88.60,87.75
,Mayo,77.21,87.22,91.99,88.65,92.55,90.73
,Junio,84.10,91.38,97.00,92.68,96.86,95.62
,Julio,84.92,93.58,101.43,96.37,99.31,100.74
,Agosto,86.70,95.46,105.26,99.58,102.67,102.75
,Septiembre,93.73,98.86,108.87,101.63,104.78,107.05
,Octubre,93.28,101.38,113.22,104.00,109.46,110.16
,Noviembre,89.46,100.15,113.13,104.71,109.82,105.96
,Diciembre,90.29,101.80,114.64,106.80,114.06,106.66
,,,,,,,
Año 2022,Enero,91.22,105.58,116.20,109.97,117.05,110.01
,Febrero,95.44,112.89,124.31,114.20,124.78,115.71
,Marzo,108.75,122.17,130.82,121.87,132.39,129.95
,Abril,117.50,129.98,144.01,129.00,141.68,143.75
,Mayo,125.69,138.32,151.08,136.36,150.70,151.61
,Junio,132.51,145.05,160.71,145.51,158.84,156.46
,Julio,142.42,155.86,173.16,158.27,167.52,162.31
,Agosto,153.89,167.97,187.49,171.88,182.80,176.29
,Septiembre,171.06,180.23,196.37,181.70,195.19,192.73
,Octubre,200.61,199.06,209.33,200.76,219.70,223.98
,Noviembre,210.21,210.69,221.55,213.35,238.46,234.35
,Diciembre,216.31,220.74,231.52,222.27,247.12,242.06
Año 2023,Enero,225.27,232.14,244.80,233.26,259.75,253.46
,Febrero,236.04,246.41,261.88,248.61,275.09,264.00
,Marzo,251.87,265.16,277.25,266.71,298.74,284.11
,Abril,271.29,288.83,302.10,288.13,320.08,306.87
