,Región,GBA,Pampeana,Noreste,Noroeste,Cuyo,Patagonia
Año 2017,Junio,33.23,33,29.33,30.08,35.84,43.34
,Julio,33.54,33.05,29.27,30.32,36.04,43.78
,Agosto,33.63,33.4,29.27,30.47,35.29,44.34
,Septiembre,33.7,33.11,29.32,30.54,35.95,43.75
,Octubre,33.93,33.28,29.07,30.81,35.41,43.7
,Noviembre,33.99,33.36,29.36,30.99,34.96,44.51
,Diciembre,33.94,33.75,29.43,31.17,34.96,44.52
Año 2018,Enero,34.19,33.93,30.01,31.46,35.47,45.02
,Febrero,36.99,36.04,31.01,33.87,39.28,45.73
,Marzo,43.8,41.91,37.49,41.52,46.12,50.24
,Abril,48,47.36,41.01,45.19,54,56.18
,Mayo,51.52,49.91,42.56,46.24,56.48,60.1
,Junio,51.95,51.37,43.41,47.49,57.5,62.51
,Julio,52.46,51.81,45.43,47.68,58.41,64.93
,Agosto,53.55,53.45,47.26,48.47,60.27,66.18
,Septiembre,59.81,57.34,50.74,52.3,62.31,70.59
,Octubre,62.35,60.54,54.08,56.39,65.46,73.34
,Noviembre,62.84,62.15,54.22,56.69,66.04,73.83
,Diciembre,62.86,62.34,54.87,57.58,66.22,74.96
Año 2019,Enero,63.66,62.48,56.82,57.76,65.65,74.28
,Febrero,64.9,65.08,58.93,59.83,68.69,76.72
,Marzo,69.59,69.92,62.67,66.05,76.85,81.56
,Abril,73.78,72.45,65.56,68.09,80.47,84.71
,Mayo,75.56,73.98,66.59,69.11,83.12,87.36
,Junio,77.65,75.08,67.45,69.79,82.44,88.74
,Julio,77.75,75.81,67.67,71.85,82.29,88.7
,Agosto,79.43,76.29,68.12,72.42,81.66,89.6
,Septiembre,82.22,78.81,68.96,73.23,82.45,89.96
,Octubre,84.33,81.3,70.52,73.99,82.6,90.31
,Noviembre,87.83,83.47,73.2,75.15,83.74,92.27
,Diciembre,90.9,85.93,75.63,76.69,85.6,97.86
Año 2020,Enero ,93.89,89.82,80.62,78.48,89.67,105.86
,Febrero,96.04,93.88,82.35,81.76,94.38,110.35
,Marzo,97.66,97.76,89.46,90.27,97.03,///
,Abril,104.97,108.39,93.73,110.07,110.61,125.06
,Mayo,114.06,120.79,95.10,112.38,115.59,128.18
,Junio,115.52,126.18,110.81,123.19,120.93,134.95
,Julio,121.30,130.50,118.08,124.46,127.09,140.80
,Agosto,123.35,132.42,119.00,124.22,130.26,144.13
,Septiembre,123.98,133.95,116.96,126.31,131.40,142.13
,Octubre,125.97,135.56,122.60,127.05,132.12,145.45
,Noviembre,125.86,138.22,128.66,127.50,130.12,146.92
,Diciembre,126.16,140.19,134.15,127.36,130.80,148.85
Año 2021,Enero,127.31,140.01,134.69,127.24,131.88,149.08
,Febrero,127.51,140.12,133.86,130.41,132.59,148.65
,Marzo,130.07,140.87,136.18,130.43,134.43,150.95
,Abril,133.46,142.49,137.51,129.86,135.11,155.82
,Mayo,134.99,144.47,137.15,129.94,136.43,162.25
,Junio,138.47,145.89,140.30,132.99,142.13,162.37
,Julio,146.48,151.71,145.02,139.87,146.57,165.18
,Agosto,147.68,154.55,147.91,143.34,147.96,169.83
,Septiembre,152.16,155.75,147.72,142.07,149.18,173.13
,Octubre,153.69,157.16,149.80,141.63,150.68,175.68
,Noviembre,155.52,157.64,149.86,140.34,151.26,177.20
,Diciembre,159.68,159.89,150.00,142.73,153.56,179.19
Año 2022,Enero,163.58,165.76,154.58,145.99,157.78,184.14
,Febrero,200.45,195.56,184.19,193.62,198.96,202.90
,Marzo,243.77,243.59,224.60,237.02,257.04,243.46
,Abril,263.81,259.95,249.99,248.63,267.48,266.79
,Mayo,268.24,264.40,253.94,249.56,267.95,282.06
,Junio,272.46,269.29,258.17,254.46,271.58,299.94
,Julio,305.61,297.96,277.72,301.51,309.46,326.95
,Agosto,345.75,341.15,318.17,347.29,361.99,374.23
,Septiembre,353.57,350.36,333.88,355.33,367.57,394.15
,Octubre,376.96,369.00,341.87,360.93,379.30,414.06
,Noviembre,396.50,387.41,352.69,369.97,387.73,436.48
,Diciembre,411.77,408.15,356.53,377.93,405.63,450.10
Año 2023,Enero,432.85,425.52,363.89,385.76,418.83,461.14
,Febrero,490.18,470.01,427.95,441.23,482.95,497.99
,Marzo,616.35,581.03,564.27,597.96,634.51,597.30
,Abril,744.62,711.99,660.38,654.31,781.85,745.09
